Neighbourhood,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
Berczy Park,5,0,49,8,14,1,0,16,7
"Brockton, Parkdale Village, Exhibition Place",9,0,52,10,7,1,0,20,1
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",0,0,27,5,10,0,0,8,0
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",1,0,4,0,8,0,0,0,2
Central Bay Street,8,1,52,8,6,1,0,19,5
Christie,4,0,61,11,6,1,0,17,0
Church and Wellesley,4,0,58,5,6,2,0,20,5
"Commerce Court, Victoria Hotel",15,0,43,5,11,1,0,16,9
Davisville,3,0,66,6,8,0,0,16,1
Davisville North,3,0,59,4,10,0,0,23,1
"Dufferin, Dovercourt Village",2,1,32,5,11,0,0,15,0
"First Canadian Place, Underground city",16,0,41,5,11,1,0,16,10
"Forest Hill North & West, Forest Hill Road Park",0,0,30,0,8,0,0,10,1
"Garden District, Ryerson",11,0,59,4,8,1,0,13,4
"Harbourfront East, Union Station, Toronto Islands",12,0,41,9,17,2,0,8,11
"High Park, The Junction South",1,0,52,8,9,0,1,27,2
"India Bazaar, The Beaches West",3,0,41,4,13,0,0,13,0
"Kensington Market, Chinatown, Grange Park",6,1,54,12,5,1,0,20,1
Lawrence Park,0,2,2,0,3,0,0,1,0
"Little Portugal, Trinity",2,0,51,18,6,1,0,21,1
"Moore Park, Summerhill East",0,0,34,1,11,1,0,10,2
"North Toronto West, Lawrence Park",1,0,24,1,10,0,0,11,0
"Parkdale, Roncesvalles",7,0,43,11,11,0,0,26,2
"Queen's Park, Ontario Provincial Government",6,1,61,5,4,2,0,18,3
"Regent Park, Harbourfront",8,0,56,6,11,3,0,15,1
"Richmond, Adelaide, King",15,0,44,5,11,1,0,15,9
Rosedale,0,0,11,0,4,0,0,5,1
Roselawn,0,0,14,0,5,0,0,5,0
"Runnymede, Swansea",2,0,52,4,5,1,0,14,1
St. James Town,11,0,52,7,7,1,0,17,5
"St. James Town, Cabbagetown",3,0,21,1,6,0,0,4,0
Stn A PO Boxes,8,0,40,7,14,2,0,20,9
Studio District,1,0,60,14,9,1,0,14,1
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",0,0,45,2,12,1,0,13,2
"The Annex, North Midtown, Yorkville",10,1,57,5,9,3,0,14,1
The Beaches,2,0,44,8,9,0,0,17,0
"The Danforth West, Riverdale",2,0,58,9,8,0,0,22,1
"Toronto Dominion Centre, Design Exchange",17,0,37,3,12,2,0,17,12
"University of Toronto, Harbord",8,3,58,8,3,2,0,16,2
