Neighbourhood,Arts & Entertainment,Food,Nightlife Spot,Outdoors & Recreation,Shop & Service,Travel & Transport
Abram,0,1,1,0,2,0
Alexandra,0,1,1,0,0,0
Altrincham,2,24,10,4,15,3
Ancoats & Beswick,2,6,4,6,3,6
Ardwick,2,8,1,4,5,2
Ashton,1,2,3,0,4,0
Ashton Hurst,0,2,0,2,3,0
Ashton St. Michael's,0,2,1,2,5,0
Ashton Waterloo,0,1,2,0,1,1
Ashton upon Mersey,0,7,0,2,8,1
Aspull New Springs Whelley,0,2,1,2,0,0
Astley Bridge,0,1,2,1,0,0
Astley Mosley Common,0,0,1,1,3,0
Atherleigh,0,1,1,3,0,0
Atherton,1,1,3,2,5,2
Audenshaw,0,4,1,0,9,2
Baguley,0,2,1,0,1,2
Balderstone and Kirkholt,0,1,2,0,1,0
Bamford,1,2,1,2,1,0
Barton,0,3,1,3,1,1
Besses,1,0,0,1,2,1
Boothstown and Ellenbrook,0,2,1,1,0,0
Bowdon,0,1,1,1,1,0
Bradshaw,0,1,2,0,1,0
Bramhall North,2,3,1,3,2,1
Bramhall South and Woodford,0,1,0,1,4,0
Bredbury Green and Romiley,0,2,1,1,3,1
Bredbury and Woodley,0,4,1,2,3,1
Breightmet,0,1,0,0,5,1
Brinnington and Central,0,7,3,3,16,0
Broadheath,0,2,2,0,15,3
Bromley Cross,0,1,0,0,1,2
Brooklands (Manchester),0,3,0,3,8,3
Brooklands (Trafford),1,2,2,3,3,2
Broughton,1,5,0,3,5,2
Bryn,1,0,1,0,2,0
Bucklow-St. Martins,1,1,0,0,1,0
Burnage,0,4,0,2,6,2
Cadishead,0,0,0,0,1,0
Castleton,0,1,0,0,4,1
Central Rochdale,0,6,4,1,11,0
Chadderton Central,1,2,0,0,2,0
Chadderton North,0,3,2,1,4,1
Chadderton South,0,6,3,0,5,5
Charlestown,0,1,0,2,1,0
Cheadle Hulme North,0,4,2,1,4,0
Cheadle Hulme South,0,7,3,1,2,0
Cheadle and Gatley,0,18,1,3,6,2
Cheetham,3,12,0,3,11,2
Chorlton,0,30,21,7,12,1
Chorlton Park,0,8,1,4,3,3
Church,0,1,1,1,2,0
Claremont,0,6,0,4,3,2
Clayton & Openshaw,0,3,1,2,6,2
Clifford,1,2,2,1,6,5
Coldhurst,1,8,1,3,13,0
Crompton (Bolton),1,5,1,0,10,0
Crompton (Oldham),0,0,3,1,0,0
Crumpsall,0,11,0,0,1,2
Davenport and Cale Green,0,3,0,1,4,1
Davyhulme East,7,38,4,4,34,4
Davyhulme West,0,0,2,1,1,0
Deansgate,7,46,15,9,14,7
Denton North East,0,3,0,0,8,0
Denton South,0,1,1,0,2,0
Denton West,0,1,2,2,2,3
Didsbury East,3,29,12,5,9,4
Didsbury West,0,44,18,6,11,5
Douglas,4,10,0,2,16,1
Droylsden East,1,1,0,1,5,1
Droylsden West,1,0,1,1,2,1
Dukinfield,0,2,1,1,2,2
Dukinfield Stalybridge,0,2,3,0,2,3
East,1,4,0,2,4,1
East Middleton,0,0,1,0,3,0
Eccles,0,8,5,1,6,2
Edgeley and Cheadle Heath,0,0,1,2,6,0
Elton,0,0,3,2,2,1
Failsworth East,0,1,1,1,1,0
Failsworth West,0,1,1,0,3,1
Fallowfield,3,18,6,4,5,6
Farnworth,0,1,0,0,2,2
Flixton,2,0,2,1,1,1
Golborne and Lowton West,0,1,1,1,1,0
Gorse Hill,1,1,1,2,2,0
Gorton & Abbey Hey,2,4,0,4,3,5
Great Lever,1,8,2,3,15,1
Hale Barns,0,1,1,2,3,0
Hale Central,0,17,3,2,2,2
Halliwell,2,10,1,3,15,0
Harper Green,0,0,2,0,2,0
Harpurhey,0,2,0,1,4,2
Hazel Grove,0,5,3,2,2,1
Heald Green,0,4,2,0,8,2
Healey,0,0,1,1,3,0
Heaton and Lostock,0,0,2,4,1,1
Heatons North,1,15,5,2,9,0
Heatons South,1,3,3,3,2,0
Higher Blackley,0,0,1,1,3,2
Hindley,0,3,2,2,2,0
Hindley Green,0,1,0,0,4,0
Hollinwood,0,0,2,0,3,0
Holyrood,1,1,0,1,1,0
Hopwood Hall,0,0,0,1,1,2
Horwich North East,0,1,1,3,0,0
